circuit_depth,gate_count,error_tolerance,job_type,priority_level,max_wait_time,backend_name,queue,success_rate,wait_time,status,avg_error,avg_noise,ai_confidence,processor_desc,suitability
189,1642,0.0027,Grover,Medium,97,ibm_fez,360,0.925,315.98,Online,0.00125,0.004416,0.701,Heron r2,0.875
159,579,0.0433,QAOA,High,235,ibm_torino,36,0.906,67.83,Online,0.001237,0.020987,0.859,Heron r1,0.383
77,804,0.0398,VQE,High,44,ibm_brisbane,319,0.868,523.31,Online,0.000734,0.003077,0.938,Eagle r3,0.347
16,1712,0.0174,QAOA,Low,213,ibm_torino,103,0.859,59.16,Online,0.001149,0.020633,0.983,Heron r1,0.719
170,1859,0.0467,QuantumFourier,Low,173,ibm_marrakesh,10,0.875,5.42,Online,0.00096,0.003218,0.986,Heron r2,0.332
170,1378,0.0239,QuantumFourier,Medium,533,ibm_pittsburgh,159,0.751,108.14,Online,0.000812,0.004788,0.715,Heron r3,0.587
102,1673,0.0467,Grover,Low,150,ibm_torino,48,0.778,45.99,Online,0.00121,0.020089,0.894,Heron r1,0.307
36,1781,0.0123,BellState,Low,166,ibm_kingston,66,0.872,79.17,Online,0.001007,0.003753,0.919,Heron r2,0.8
113,1252,0.0402,VQE,High,270,ibm_pittsburgh,114,0.772,151.06,Online,0.000794,0.004681,0.738,Heron r3,0.374
18,1255,0.0358,VQE,Medium,160,ibm_kingston,375,0.808,348.83,Online,0.00097,0.003694,0.701,Heron r2,0.38
106,672,0.0434,QAOA,Medium,307,ibm_torino,39,0.96,50.52,Online,0.001242,0.02039,0.812,Heron r1,0.392
97,1658,0.0259,VQE,Low,235,ibm_brisbane,153,0.883,137.18,Online,0.000703,0.002944,0.979,Eagle r3,0.586
96,1584,0.0379,BellState,Medium,554,ibm_kingston,299,0.76,313.49,Online,0.001002,0.003801,0.871,Heron r2,0.361
108,1394,0.0406,Grover,Low,204,ibm_torino,1,0.926,1.37,Online,0.001207,0.019695,0.816,Heron r1,0.433
173,1025,0.0416,VQE,High,308,ibm_kingston,155,0.954,209.19,Online,0.000955,0.003792,0.794,Heron r2,0.383
122,328,0.0346,QuantumFourier,Low,218,ibm_pittsburgh,78,0.904,129.46,Online,0.000783,0.004387,0.709,Heron r3,0.488
134,618,0.0114,Grover,High,596,ibm_torino,217,0.813,242.58,Online,0.001221,0.01942,0.807,Heron r1,0.766
13,573,0.0021,VQE,High,416,ibm_pittsburgh,256,0.765,229.25,Online,0.000806,0.00452,0.807,Heron r3,0.871
179,394,0.0303,QAOA,High,276,ibm_fez,58,0.87,41.88,Online,0.001251,0.004405,0.872,Heron r2,0.553
87,735,0.0272,QAOA,High,309,ibm_fez,44,0.8,84.3,Online,0.00127,0.004773,0.93,Heron r2,0.586
117,1457,0.0496,QAOA,High,163,ibm_torino,50,0.878,62.78,Online,0.001209,0.020095,0.955,Heron r1,0.286
104,1015,0.0096,QuantumFourier,High,176,ibm_torino,64,0.935,112.82,Online,0.001149,0.019188,0.984,Heron r1,0.853
175,122,0.0413,QAOA,High,218,ibm_brisbane,148,0.889,77.6,Online,0.000676,0.003004,0.887,Eagle r3,0.372
137,765,0.0015,VQE,High,181,ibm_torino,336,0.905,452.03,Online,0.001255,0.019183,0.728,Heron r1,0.894
74,1061,0.0494,BellState,Medium,274,ibm_fez,336,0.937,563.98,Online,0.001305,0.004618,0.815,Heron r2,0.23
32,973,0.0446,QuantumFourier,High,138,ibm_pittsburgh,220,0.818,194.25,Online,0.000744,0.004663,0.872,Heron r3,0.295
28,934,0.013,BellState,Medium,303,ibm_fez,364,0.772,586.27,Online,0.001364,0.004525,0.76,Heron r2,0.7
80,446,0.0493,QAOA,Medium,428,ibm_marrakesh,6,0.852,5.42,Online,0.000997,0.003325,0.728,Heron r2,0.293
49,301,0.0281,QuantumFourier,Low,273,ibm_kingston,268,0.842,227.67,Online,0.000979,0.003595,0.928,Heron r2,0.522
108,1114,0.0274,Grover,High,249,ibm_fez,299,0.799,426.63,Online,0.001274,0.004495,0.91,Heron r2,0.519
67,903,0.0318,QAOA,Medium,164,ibm_brisbane,56,0.833,97.31,Online,0.00071,0.003048,0.891,Eagle r3,0.517
108,1305,0.0146,Grover,Low,330,ibm_brisbane,180,0.964,238.48,Online,0.000714,0.002937,0.981,Eagle r3,0.753
132,1718,0.0033,Grover,Low,361,ibm_brisbane,38,0.876,68.01,Online,0.000707,0.002901,0.889,Eagle r3,0.929
192,205,0.0148,Grover,High,255,ibm_pittsburgh,264,0.83,207.53,Online,0.000818,0.004676,0.859,Heron r3,0.704
164,1990,0.0158,QAOA,High,309,ibm_fez,342,0.831,652.92,Online,0.001276,0.00474,0.92,Heron r2,0.677
37,753,0.0486,QuantumFourier,Low,261,ibm_torino,106,0.76,109.96,Online,0.001145,0.020106,0.902,Heron r1,0.261
73,1068,0.0177,BellState,High,89,ibm_marrakesh,104,0.76,71.09,Online,0.000909,0.003146,0.771,Heron r2,0.691
101,1356,0.0455,VQE,Low,387,ibm_torino,139,0.938,261.24,Online,0.001178,0.020705,0.883,Heron r1,0.332
159,1705,0.0465,BellState,Medium,289,ibm_kingston,321,0.884,480.94,Online,0.000959,0.003808,0.945,Heron r2,0.259
17,1515,0.0407,Grover,Low,534,ibm_fez,352,0.805,682.38,Online,0.001288,0.004619,0.858,Heron r2,0.321
119,579,0.0452,QAOA,High,474,ibm_torino,170,0.869,272.32,Online,0.001145,0.020903,0.768,Heron r1,0.315
174,862,0.0311,BellState,Medium,437,ibm_brisbane,218,0.873,156.86,Online,0.000693,0.003061,0.815,Eagle r3,0.494
83,975,0.0323,QuantumFourier,Medium,189,ibm_kingston,86,0.868,89.31,Online,0.00099,0.00387,0.845,Heron r2,0.514
81,960,0.0052,VQE,High,223,ibm_fez,278,0.896,204.7,Online,0.001308,0.004828,0.852,Heron r2,0.855
185,696,0.0422,QuantumFourier,Low,101,ibm_brisbane,219,0.904,398.17,Online,0.000716,0.00294,0.946,Eagle r3,0.345
22,268,0.0153,Grover,High,439,ibm_torino,375,0.94,540.3,Online,0.001178,0.020261,0.861,Heron r1,0.697
109,1122,0.0319,QuantumFourier,Medium,454,ibm_marrakesh,353,0.876,469.87,Online,0.000988,0.003196,0.958,Heron r2,0.454
169,210,0.0213,VQE,Medium,497,ibm_pittsburgh,219,0.791,219.67,Online,0.000816,0.004646,0.729,Heron r3,0.617
147,1260,0.0168,Grover,High,244,ibm_brisbane,188,0.776,348.88,Online,0.000727,0.002921,0.7,Eagle r3,0.683
26,706,0.0408,QAOA,Low,330,ibm_fez,87,0.954,97.31,Online,0.001264,0.004759,0.758,Heron r2,0.416
161,291,0.0292,QAOA,Low,128,ibm_pittsburgh,35,0.929,37.03,Online,0.000814,0.004765,0.799,Heron r3,0.58
31,519,0.0481,QuantumFourier,Medium,550,ibm_brisbane,328,0.841,517.4,Online,0.000719,0.003042,0.89,Eagle r3,0.223
176,225,0.0136,Grover,Medium,347,ibm_kingston,11,0.917,10.76,Online,0.000942,0.003718,0.773,Heron r2,0.803
64,1070,0.0481,BellState,Low,426,ibm_marrakesh,98,0.864,97.9,Online,0.000922,0.003298,0.924,Heron r2,0.288
61,1683,0.0182,QAOA,High,325,ibm_kingston,330,0.781,467.75,Online,0.000935,0.003542,0.773,Heron r2,0.632
112,1542,0.0334,BellState,Low,84,ibm_kingston,235,0.802,364.47,Online,0.000989,0.003874,0.88,Heron r2,0.448
89,698,0.0129,BellState,Low,513,ibm_brisbane,278,0.908,476.93,Online,0.000671,0.00314,0.791,Eagle r3,0.741
37,1270,0.0432,QuantumFourier,Medium,110,ibm_torino,14,0.882,11.39,Online,0.001174,0.019229,0.784,Heron r1,0.385
50,1614,0.001,QAOA,Low,520,ibm_brisbane,150,0.782,240.09,Online,0.000685,0.002975,0.766,Eagle r3,0.914
79,967,0.035,QAOA,Medium,541,ibm_torino,360,0.785,563.74,Online,0.00124,0.020216,0.799,Heron r1,0.394
77,877,0.039,QAOA,Low,288,ibm_torino,80,0.964,146.79,Online,0.001147,0.019933,0.881,Heron r1,0.443
196,1827,0.046,QAOA,Low,556,ibm_fez,307,0.923,564.49,Online,0.001313,0.004517,0.864,Heron r2,0.282
113,866,0.0193,BellState,Low,157,ibm_torino,135,0.802,125.48,Online,0.001169,0.019119,0.967,Heron r1,0.673
188,981,0.018,BellState,Low,431,ibm_pittsburgh,109,0.892,111.76,Online,0.000759,0.004556,0.957,Heron r3,0.71
158,804,0.0445,QuantumFourier,Low,76,ibm_marrakesh,303,0.971,486.92,Online,0.000966,0.003156,0.984,Heron r2,0.309
53,1405,0.0361,Grover,Low,380,ibm_pittsburgh,339,0.818,554.67,Online,0.000749,0.004572,0.787,Heron r3,0.384
86,802,0.0329,QAOA,Low,398,ibm_fez,55,0.835,29.39,Online,0.00124,0.004609,0.971,Heron r2,0.51
105,1912,0.0068,VQE,Medium,431,ibm_pittsburgh,256,0.849,171.34,Online,0.000764,0.004761,0.899,Heron r3,0.821
141,971,0.0449,BellState,Medium,405,ibm_pittsburgh,178,0.914,137.39,Online,0.000772,0.00473,0.812,Heron r3,0.321
72,1383,0.0238,QuantumFourier,Low,32,ibm_marrakesh,336,0.891,335.65,Online,0.000979,0.003328,0.888,Heron r2,0.575
103,676,0.0396,VQE,Medium,449,ibm_brisbane,217,0.761,147.9,Online,0.000728,0.003021,0.815,Eagle r3,0.354
130,1227,0.0021,VQE,Low,362,ibm_marrakesh,246,0.818,130.44,Online,0.000979,0.003227,0.865,Heron r2,0.886
56,1290,0.0385,BellState,Medium,501,ibm_fez,298,0.772,387.11,Online,0.001358,0.004702,0.88,Heron r2,0.36
163,853,0.0464,QAOA,Low,464,ibm_brisbane,323,0.795,636.02,Online,0.000708,0.002952,0.886,Eagle r3,0.239
100,1707,0.0114,VQE,Low,79,ibm_marrakesh,48,0.825,79.26,Online,0.000971,0.003357,0.719,Heron r2,0.807
183,569,0.0481,QuantumFourier,High,47,ibm_pittsburgh,69,0.753,92.41,Online,0.000786,0.004801,0.723,Heron r3,0.271
37,1195,0.0049,QAOA,High,514,ibm_pittsburgh,55,0.819,88.22,Online,0.000788,0.004449,0.834,Heron r3,0.892
68,434,0.0309,VQE,High,575,ibm_torino,136,0.892,111.4,Online,0.001141,0.019733,0.91,Heron r1,0.528
86,1843,0.0331,QuantumFourier,Low,457,ibm_pittsburgh,37,0.833,65.02,Online,0.000773,0.004521,0.949,Heron r3,0.505
198,358,0.0145,QAOA,Low,549,ibm_torino,258,0.809,131.01,Online,0.001221,0.020994,0.818,Heron r1,0.711
188,1754,0.0244,QAOA,Low,458,ibm_pittsburgh,149,0.889,87.82,Online,0.000782,0.004474,0.921,Heron r3,0.61
79,1954,0.0259,BellState,Medium,443,ibm_pittsburgh,152,0.896,283.39,Online,0.000812,0.004811,0.721,Heron r3,0.59
91,1091,0.0342,BellState,Low,386,ibm_brisbane,356,0.957,567.24,Online,0.000715,0.003028,0.853,Eagle r3,0.434
106,1253,0.0059,BellState,Medium,41,ibm_marrakesh,359,0.881,584.43,Online,0.000989,0.003233,0.956,Heron r2,0.818
57,850,0.0122,QAOA,High,431,ibm_brisbane,297,0.766,304.91,Online,0.000667,0.002879,0.943,Eagle r3,0.717
138,1554,0.0015,Grover,Low,504,ibm_torino,285,0.84,553.29,Online,0.001172,0.019328,0.812,Heron r1,0.892
66,641,0.048,QAOA,Low,528,ibm_brisbane,232,0.759,452.1,Online,0.000687,0.003142,0.852,Eagle r3,0.231
31,1988,0.0057,QuantumFourier,Low,58,ibm_brisbane,182,0.821,362.34,Online,0.000692,0.003074,0.71,Eagle r3,0.849
189,412,0.0012,VQE,High,273,ibm_pittsburgh,24,0.962,43.09,Online,0.000779,0.004792,0.835,Heron r3,0.98
34,177,0.0087,Grover,High,495,ibm_brisbane,240,0.915,246.04,Online,0.00068,0.003014,0.968,Eagle r3,0.811
18,133,0.0068,QAOA,High,428,ibm_pittsburgh,300,0.965,526.18,Online,0.000779,0.004489,0.74,Heron r3,0.834
107,303,0.0369,QAOA,High,526,ibm_kingston,315,0.88,314.36,Online,0.000978,0.003709,0.911,Heron r2,0.394
36,598,0.0248,QuantumFourier,Low,330,ibm_marrakesh,89,0.776,88.71,Online,0.000925,0.003344,0.834,Heron r2,0.599
56,1879,0.0078,Grover,Low,147,ibm_marrakesh,163,0.8,128.45,Online,0.00099,0.003109,0.94,Heron r2,0.824
157,913,0.0077,QuantumFourier,High,220,ibm_pittsburgh,2,0.953,3.91,Online,0.00075,0.004769,0.974,Heron r3,0.893
135,1403,0.0111,QAOA,Low,395,ibm_pittsburgh,93,0.905,75.92,Online,0.000785,0.004786,0.904,Heron r3,0.813
100,534,0.0356,VQE,Low,92,ibm_fez,215,0.805,181.69,Online,0.001358,0.00474,0.797,Heron r2,0.428
165,1688,0.0396,BellState,Medium,54,ibm_pittsburgh,293,0.762,458.24,Online,0.000804,0.004742,0.72,Heron r3,0.336
192,204,0.0087,Grover,Medium,443,ibm_brisbane,17,0.948,28.65,Online,0.000677,0.002897,0.875,Eagle r3,0.873
25,1944,0.0188,QuantumFourier,Medium,540,ibm_pittsburgh,275,0.83,155.4,Online,0.000791,0.004584,0.752,Heron r3,0.645
146,1343,0.0014,BellState,Medium,72,ibm_brisbane,32,0.764,22.37,Online,0.000672,0.002919,0.965,Eagle r3,0.935
29,1678,0.0284,Grover,High,434,ibm_marrakesh,162,0.862,255.96,Online,0.000975,0.003336,0.774,Heron r2,0.548
13,1139,0.0045,Grover,Low,287,ibm_pittsburgh,383,0.934,557.11,Online,0.000786,0.004429,0.896,Heron r3,0.839
62,337,0.0165,QuantumFourier,Medium,491,ibm_marrakesh,109,0.95,190.52,Online,0.000947,0.003092,0.918,Heron r2,0.745
142,1646,0.0053,Grover,Low,140,ibm_kingston,300,0.857,579.25,Online,0.001023,0.003849,0.979,Heron r2,0.837
46,789,0.0078,BellState,Medium,199,ibm_marrakesh,309,0.889,473.06,Online,0.000962,0.00322,0.903,Heron r2,0.805
159,496,0.0094,BellState,High,30,ibm_pittsburgh,160,0.866,246.12,Online,0.000799,0.004484,0.856,Heron r3,0.813
30,1181,0.0017,QuantumFourier,Low,370,ibm_pittsburgh,348,0.938,546.55,Online,0.000751,0.004722,0.894,Heron r3,0.887
57,1421,0.0106,VQE,High,139,ibm_pittsburgh,179,0.976,190.99,Online,0.000803,0.004555,0.835,Heron r3,0.813
99,467,0.0465,Grover,Low,91,ibm_kingston,318,0.843,257.4,Online,0.000935,0.003834,0.827,Heron r2,0.251
149,1262,0.0461,QuantumFourier,High,32,ibm_kingston,255,0.842,406.84,Online,0.000953,0.003842,0.719,Heron r2,0.273
106,904,0.0318,VQE,Medium,469,ibm_marrakesh,318,0.84,576.26,Online,0.000987,0.003089,0.796,Heron r2,0.457
198,317,0.0282,Grover,Medium,231,ibm_torino,349,0.801,312.45,Online,0.001206,0.019845,0.863,Heron r1,0.495
141,1529,0.0024,BellState,High,235,ibm_pittsburgh,77,0.925,67.19,Online,0.00077,0.00444,0.734,Heron r3,0.943
155,1516,0.0316,VQE,Medium,178,ibm_pittsburgh,248,0.944,167.06,Online,0.000782,0.004387,0.74,Heron r3,0.495
148,1491,0.0111,QuantumFourier,High,522,ibm_fez,335,0.88,517.95,Online,0.00126,0.004498,0.832,Heron r2,0.754
135,927,0.0457,Grover,Medium,403,ibm_torino,179,0.916,137.36,Online,0.001212,0.020713,0.989,Heron r1,0.316
79,744,0.0459,QuantumFourier,Medium,275,ibm_marrakesh,38,0.932,39.06,Online,0.000957,0.003153,0.902,Heron r2,0.348
18,1467,0.0203,Grover,High,501,ibm_pittsburgh,62,0.913,106.84,Online,0.000801,0.004404,0.911,Heron r3,0.694
181,1942,0.0208,VQE,Medium,223,ibm_fez,111,0.952,74.02,Online,0.001309,0.004656,0.84,Heron r2,0.69
183,359,0.0369,VQE,Medium,296,ibm_fez,154,0.759,131.54,Online,0.001285,0.004755,0.837,Heron r2,0.415
61,702,0.0321,Grover,Medium,366,ibm_pittsburgh,297,0.879,345.83,Online,0.000776,0.004793,0.946,Heron r3,0.463
145,1216,0.0352,QAOA,Medium,167,ibm_marrakesh,23,0.847,41.54,Online,0.000923,0.003204,0.869,Heron r2,0.484
30,537,0.0094,QAOA,Low,126,ibm_brisbane,142,0.961,88.39,Online,0.000699,0.002889,0.874,Eagle r3,0.835
112,802,0.044,VQE,Medium,230,ibm_fez,105,0.907,171.61,Online,0.00136,0.004788,0.731,Heron r2,0.358
89,1021,0.0047,VQE,High,176,ibm_pittsburgh,121,0.915,92.46,Online,0.000759,0.004494,0.905,Heron r3,0.898
37,143,0.0364,BellState,Medium,434,ibm_torino,289,0.899,390.66,Online,0.001204,0.020189,0.887,Heron r1,0.415
178,382,0.0471,BellState,Low,42,ibm_torino,350,0.81,326.94,Online,0.00116,0.02046,0.728,Heron r1,0.231
81,620,0.0182,BellState,Medium,599,ibm_marrakesh,283,0.937,444.52,Online,0.000961,0.003205,0.971,Heron r2,0.675
191,879,0.0303,Grover,Medium,345,ibm_kingston,74,0.973,75.6,Online,0.000954,0.003581,0.823,Heron r2,0.565
11,328,0.0216,VQE,Low,534,ibm_marrakesh,190,0.959,218.64,Online,0.000992,0.003253,0.717,Heron r2,0.656
141,957,0.03,QAOA,High,540,ibm_kingston,131,0.887,107.56,Online,0.000951,0.00363,0.727,Heron r2,0.538
172,1142,0.0385,QuantumFourier,Low,520,ibm_marrakesh,146,0.867,116.39,Online,0.000971,0.00334,0.761,Heron r2,0.411
13,1756,0.0407,BellState,Medium,497,ibm_pittsburgh,178,0.844,330.31,Online,0.000778,0.004576,0.852,Heron r3,0.365
70,549,0.0084,Grover,Low,58,ibm_brisbane,177,0.821,174.92,Online,0.00071,0.003145,0.764,Eagle r3,0.812
138,1244,0.0027,QAOA,Low,276,ibm_torino,72,0.958,138.69,Online,0.00125,0.019357,0.965,Heron r1,0.953
20,485,0.0362,Grover,High,277,ibm_fez,102,0.893,139.64,Online,0.001245,0.004669,0.707,Heron r2,0.464
194,768,0.0199,Grover,Low,403,ibm_brisbane,215,0.961,413.89,Online,0.000668,0.002926,0.942,Eagle r3,0.669
25,825,0.044,QuantumFourier,Medium,49,ibm_pittsburgh,65,0.938,120.24,Online,0.000756,0.00441,0.987,Heron r3,0.366
167,838,0.0228,Grover,High,201,ibm_torino,106,0.861,171.49,Online,0.001188,0.020069,0.801,Heron r1,0.643
86,580,0.0152,QAOA,Medium,322,ibm_kingston,85,0.809,166.27,Online,0.00098,0.003603,0.841,Heron r2,0.741
196,477,0.0402,VQE,Low,315,ibm_fez,359,0.787,224.92,Online,0.001338,0.004726,0.729,Heron r2,0.324
178,1184,0.0168,VQE,Low,270,ibm_brisbane,209,0.917,154.54,Online,0.000678,0.003097,0.942,Eagle r3,0.705
147,1532,0.0355,Grover,Medium,309,ibm_torino,176,0.923,89.0,Online,0.001218,0.020049,0.964,Heron r1,0.461
150,1223,0.0427,VQE,Medium,557,ibm_pittsburgh,136,0.859,202.1,Online,0.000758,0.004682,0.955,Heron r3,0.351
33,514,0.0014,QuantumFourier,Medium,518,ibm_fez,245,0.873,443.67,Online,0.001344,0.004393,0.872,Heron r2,0.913
25,1496,0.0037,QAOA,Low,148,ibm_torino,8,0.838,8.45,Online,0.001177,0.020198,0.982,Heron r1,0.93
162,1137,0.0036,VQE,Low,218,ibm_pittsburgh,154,0.836,233.51,Online,0.000754,0.0046,0.973,Heron r3,0.889
104,955,0.0013,Grover,Low,274,ibm_marrakesh,74,0.935,137.54,Online,0.000935,0.003114,0.899,Heron r2,0.963
68,1022,0.0116,QAOA,High,65,ibm_marrakesh,316,0.767,616.84,Online,0.000959,0.003143,0.934,Heron r2,0.725
64,922,0.01,QAOA,Medium,231,ibm_brisbane,366,0.826,686.84,Online,0.000683,0.003055,0.765,Eagle r3,0.743
169,1094,0.01,BellState,High,327,ibm_torino,280,0.963,201.07,Online,0.001189,0.019138,0.906,Heron r1,0.799
162,1359,0.0492,QAOA,Medium,423,ibm_marrakesh,364,0.847,186.22,Online,0.000978,0.003256,0.779,Heron r2,0.203
196,1166,0.0425,QAOA,Medium,546,ibm_pittsburgh,67,0.769,48.85,Online,0.000778,0.004788,0.886,Heron r3,0.353
53,131,0.0144,BellState,Medium,414,ibm_fez,308,0.808,216.67,Online,0.001263,0.004476,0.758,Heron r2,0.701
57,1557,0.037,QuantumFourier,High,522,ibm_kingston,133,0.967,121.71,Online,0.000985,0.003708,0.725,Heron r2,0.456
187,882,0.0111,BellState,Low,148,ibm_torino,362,0.825,527.6,Online,0.001142,0.020758,0.832,Heron r1,0.735
154,1286,0.0356,Grover,High,570,ibm_brisbane,311,0.907,339.55,Online,0.000696,0.002938,0.911,Eagle r3,0.415
180,601,0.0112,QAOA,Medium,489,ibm_marrakesh,276,0.785,405.34,Online,0.000976,0.003174,0.966,Heron r2,0.745
199,1201,0.0468,VQE,Medium,467,ibm_brisbane,380,0.774,741.86,Online,0.00072,0.003052,0.785,Eagle r3,0.215
32,1738,0.0489,QAOA,High,516,ibm_pittsburgh,340,0.82,646.62,Online,0.000801,0.004688,0.927,Heron r3,0.206
150,1739,0.0258,VQE,Low,489,ibm_pittsburgh,355,0.932,666.73,Online,0.000792,0.004725,0.707,Heron r3,0.548
109,1653,0.0486,QuantumFourier,Medium,579,ibm_torino,172,0.878,166.63,Online,0.001147,0.019145,0.872,Heron r1,0.268
186,780,0.0069,Grover,Low,187,ibm_marrakesh,397,0.861,738.4,Online,0.000982,0.003248,0.859,Heron r2,0.79
176,1819,0.0066,QAOA,Low,313,ibm_torino,82,0.802,152.48,Online,0.001182,0.020904,0.711,Heron r1,0.864
49,661,0.0255,Grover,High,139,ibm_torino,349,0.876,602.96,Online,0.001257,0.019687,0.968,Heron r1,0.549
41,684,0.0347,QuantumFourier,Low,428,ibm_torino,177,0.968,181.45,Online,0.001213,0.020306,0.879,Heron r1,0.481
157,951,0.0257,QuantumFourier,Medium,181,ibm_torino,40,0.842,35.05,Online,0.00122,0.019384,0.844,Heron r1,0.616
90,940,0.0033,QuantumFourier,Low,75,ibm_kingston,155,0.812,245.88,Online,0.001028,0.003832,0.857,Heron r2,0.892
71,774,0.0167,Grover,Low,223,ibm_kingston,180,0.818,272.39,Online,0.000974,0.003516,0.802,Heron r2,0.698
194,1244,0.0449,Grover,Low,548,ibm_marrakesh,19,0.936,15.17,Online,0.000957,0.003243,0.787,Heron r2,0.367
98,321,0.0104,QuantumFourier,Low,438,ibm_kingston,176,0.899,271.52,Online,0.000994,0.003597,0.894,Heron r2,0.804
31,1074,0.0435,BellState,Medium,47,ibm_pittsburgh,241,0.96,140.65,Online,0.000781,0.004573,0.904,Heron r3,0.334
14,1432,0.0018,VQE,Medium,135,ibm_pittsburgh,6,0.822,6.16,Online,0.000758,0.004563,0.898,Heron r3,0.948
41,1853,0.0193,QuantumFourier,Low,190,ibm_fez,272,0.958,489.44,Online,0.001355,0.004584,0.85,Heron r2,0.672
164,1164,0.0113,Grover,Medium,123,ibm_kingston,58,0.881,68.71,Online,0.000956,0.003815,0.831,Heron r2,0.817
55,677,0.0162,Grover,Medium,179,ibm_kingston,192,0.931,224.17,Online,0.000988,0.003735,0.709,Heron r2,0.725
103,314,0.0417,QAOA,High,321,ibm_fez,155,0.864,229.06,Online,0.001352,0.004825,0.972,Heron r2,0.369
111,1806,0.0295,VQE,Medium,413,ibm_torino,1,0.886,1.27,Online,0.001193,0.020736,0.82,Heron r1,0.581
35,811,0.0284,VQE,Low,175,ibm_pittsburgh,181,0.936,296.17,Online,0.000762,0.004473,0.957,Heron r3,0.555
38,223,0.0428,VQE,High,361,ibm_marrakesh,267,0.829,237.69,Online,0.000967,0.00319,0.823,Heron r2,0.313
106,432,0.0436,BellState,High,425,ibm_pittsburgh,54,0.911,94.47,Online,0.000767,0.004512,0.785,Heron r3,0.369
89,1260,0.0298,QAOA,Low,415,ibm_marrakesh,164,0.959,302.38,Online,0.000976,0.003321,0.94,Heron r2,0.547
33,1476,0.0125,QuantumFourier,Low,518,ibm_kingston,197,0.829,341.9,Online,0.000956,0.003799,0.824,Heron r2,0.755
99,1360,0.0184,VQE,High,532,ibm_marrakesh,324,0.828,411.2,Online,0.000918,0.003287,0.717,Heron r2,0.64
103,577,0.0132,QAOA,High,104,ibm_kingston,156,0.879,195.59,Online,0.000938,0.003864,0.798,Heron r2,0.765
80,1840,0.0479,QuantumFourier,Low,37,ibm_kingston,331,0.807,259.05,Online,0.000932,0.003718,0.964,Heron r2,0.221
12,678,0.0447,Grover,High,170,ibm_marrakesh,237,0.852,365.48,Online,0.000945,0.003173,0.817,Heron r2,0.299
64,1537,0.0309,VQE,High,460,ibm_torino,359,0.956,356.11,Online,0.001172,0.020488,0.954,Heron r1,0.485
102,140,0.0358,QAOA,Low,296,ibm_fez,221,0.762,196.64,Online,0.001296,0.004422,0.781,Heron r2,0.414
152,1949,0.0074,QAOA,Medium,480,ibm_marrakesh,235,0.806,138.09,Online,0.000915,0.00316,0.964,Heron r2,0.812
196,982,0.0068,QuantumFourier,High,254,ibm_kingston,57,0.799,30.94,Online,0.000972,0.003531,0.825,Heron r2,0.864
23,473,0.0368,VQE,Low,262,ibm_pittsburgh,192,0.975,213.99,Online,0.000803,0.004524,0.752,Heron r3,0.443
64,587,0.0029,QuantumFourier,Low,83,ibm_brisbane,22,0.763,19.86,Online,0.000684,0.002975,0.768,Eagle r3,0.916
147,1808,0.0421,BellState,High,505,ibm_pittsburgh,189,0.761,241.61,Online,0.000799,0.004408,0.748,Heron r3,0.327
